mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_conc_mol_m3,co2_conc_mol_m3,ch4_ppm,co2_ppm
1282.07,14.25,7.24,37011764,1420862,1141066,220.73341120083353,43232.28248618214,2.2981,450.1
1325.51,14.27,7.29,37020158,1420639,1143109,224.8956984978653,44047.497451759795,2.2981,450.1
1417.83,14.27,7.33,37030514,1420639,1143109,233.77415994781543,45786.41024868881,2.2981,450.1
1499.29,14.42,7.37,37029592,1420639,1143109,241.4821838903973,47296.08414301721,2.2981,450.1
1580.75,14.47,7.37,37035954,1419637,1148761,249.2688067259648,48821.15221589869,2.2981,450.1
1662.21,14.54,7.37,37047906,1419659,1150411,257.03485265279454,50342.19014795824,2.2981,450.1
1732.81,14.58,7.49,37052844,1419073,1152631,263.7814426999572,51663.56005363159,2.2981,450.1
1792.55,14.58,7.53,37063404,1419241,1152631,269.5204790451142,52787.593063054665,2.2981,450.1
1835.99,14.67,7.54,37072678,1419161,1155304,273.6080422444152,53588.172757587265,2.2981,450.1
1884.87,14.72,7.57,37080019,1419458,1156935,278.25398556846966,54498.115358064584,2.2981,450.1
1912.02,14.77,7.58,37083658,1419233,1158173,280.8121592024032,54999.152716157565,2.2981,450.1
1977.19,14.78,7.59,37088326,1419304,1159098,287.05873724703946,56222.59154731842,2.2981,450.1
2020.64,14.83,7.62,37094686,1419174,1161105,291.17938020680515,57029.65015929812,2.2981,450.1
2031.5,14.88,7.62,37094686,1419671,1161760,292.1710333393742,57223.87281060543,2.2981,450.1
2102.1,14.91,7.66,37115179,1419671,1161760,298.915158234799,58544.7598979518,2.2981,450.1
2156.4,14.91,7.68,37115179,1419284,1163947,304.12561475052865,59565.2666112062,2.2981,450.1
2150.97,15.0,7.7,37116077,1419554,1163947,303.509742060195,59444.64335811922,2.2981,450.1
2140.11,15.02,7.7,37126170,1420255,1163947,302.4469839117915,59236.494259909225,2.2981,450.1
2140.11,15.04,7.7,37132412,1420958,1168037,302.4259944962037,59232.38332654859,2.2981,450.1
2172.69,15.06,7.7,37129876,1420958,1167805,305.5296548218785,59840.25831570756,2.2981,450.1
2188.99,15.08,7.69,37121383,1420305,1168154,307.0716284240668,60142.2653294776,2.2981,450.1
2183.56,15.1,7.69,37127428,1420642,1169034,306.5296202958426,60036.1090009829,2.2981,450.1
2199.85,15.12,7.69,37130482,1420771,1168973,308.0703516892253,60337.872718907056,2.2981,450.1
2227.0,15.14,7.69,37123805,1420220,1169859,310.6521292220109,60843.53307637923,2.2981,450.1
2216.14,15.16,7.77,37129357,1420220,1170925,309.58939167087266,60635.38801229703,2.2981,450.1
2205.28,15.19,7.81,37132991,1420397,1170925,308.5161014491402,60425.17612908839,2.2981,450.1
2183.56,15.2,7.81,37136104,1420761,1171778,306.42331558965367,60015.288432576104,2.2981,450.1
2140.11,15.21,7.81,37132921,1420621,1171663,302.2477020178283,59197.46341683327,2.2981,450.1
2080.37,15.22,7.82,37136462,1421420,1172338,296.51092147681425,58073.872223451595,2.2981,450.1
2031.5,15.23,7.82,37126214,1421247,1171189,291.81643225168165,57154.42154670463,2.2981,450.1
1971.76,15.23,7.89,37109925,1420823,1169796,286.09033152489053,56032.92207447598,2.2981,450.1
1933.75,15.23,7.98,37101425,1420554,1168703,282.44705920106514,55319.36005674228,2.2981,450.1
1879.44,15.22,8.03,37101425,1419650,1166992,277.25104003607606,54301.68100615198,2.2981,450.1
1835.99,15.22,8.11,37067618,1419335,1166464,273.08619731174383,53485.965541106096,2.2981,450.1
1803.41,15.22,8.14,37063732,1419246,1165432,269.9632841711514,52874.31974476099,2.2981,450.1
1754.53,15.21,8.15,37063732,1418842,1165432,265.28715546409745,51958.46511221891,2.2981,450.1
1727.38,15.2,8.16,37050849,1418706,1164142,262.69374752095223,51450.52685226083,2.2981,450.1
1683.94,15.2,8.16,37042990,1418706,1162768,258.529574525853,50634.94255867301,2.2981,450.1
1640.49,15.2,8.16,37036509,1418706,1162768,254.36444292739387,49819.170515478,2.2981,450.1
1591.62,15.2,8.15,37029273,1418194,1160761,249.6797483079072,48901.638185191696,2.2981,450.1
1564.46,15.18,8.15,37025924,1418344,1161146,247.09332001299097,48395.066941319885,2.2981,450.1
1542.74,15.18,8.14,37021560,1418174,1160771,245.01108909158685,47987.246508038486,2.2981,450.1
1526.45,15.18,8.13,37021777,1418169,1160948,243.44941590053375,47681.38118307744,2.2981,450.1
1493.86,15.18,8.13,37021589,1418132,1161189,240.32511084857433,47069.46277052492,2.2981,450.1
1444.99,15.17,8.13,37021589,1418258,1160219,235.64826414206595,46153.46751244241,2.2981,450.1
1423.26,15.17,8.11,37014352,1418160,1160101,233.56500229811743,45745.44516530294,2.2981,450.1
